n_estimators,learning_rate,max_depth,min_samples_split,min_samples_leaf,subsample,max_features,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
100,0.01,7,10,5,0.8,1.0,0.35097239355118226,3.11608999280486,2.3177728167156317,99.9697149014096,1.9639473405808736,40.17754113119315,0.3509723943251095,0.3480770460556727,3.1221995940736007,2.334100539853962,99.98225649993859,1.967664740810659,37.805387075212266,0.34808955016209564
100,0.01,7,10,5,1.0,0.8,0.5521155904287862,2.588578735971184,1.917540581536858,80.21862854649021,1.5038595899050469,35.56514534765841,0.5521155904287861,0.5429256184634279,2.614303273779982,1.9381907837408263,80.57383181257131,1.5081205804476294,32.768457103803094,0.5429367801529599
100,0.01,7,10,5,1.0,1.0,0.32910886295130537,3.168140504341021,2.356954853152783,101.7912120583537,1.9747961783807721,40.53708516235912,0.32910886295130537,0.3269823785462971,3.1723109062904027,2.3724997390431537,101.77391210669502,1.9802260503773612,37.86265707086104,0.32699373441361446
100,0.01,9,10,5,0.8,0.8,0.5758660821578314,2.5190100997259504,1.8693846283922697,78.3993188153323,1.4725237827095474,34.41810279903173,0.5758660831884492,0.5628379882313025,2.556723330938762,1.8974323874567476,79.06997260877058,1.4877243060718663,32.38715241078883,0.5628518341133857
100,0.01,9,10,5,0.8,1.0,0.4053908955648482,2.98259430301633,2.2096909311170676,94.86452146350491,1.8183424554433554,39.48407411925942,0.4053908955827077,0.3983584341395051,2.999379667157536,2.2328487581433794,95.20922422127373,1.8300936578869573,37.289625960375126,0.3983702921880842
100,0.01,9,10,5,1.0,0.8,0.5748896471265921,2.5219080472687203,1.871106519733181,78.45447456361326,1.4751676458606442,34.40652641932353,0.5748896471265921,0.5617915148851086,2.55978162910989,1.8994274200287475,79.16038136714515,1.4919271130797345,32.41498785613109,0.5618052229367925
100,0.01,9,10,5,1.0,1.0,0.383393436508748,3.0372635503739476,2.2503886111951625,96.53882300285122,1.8567365735264345,39.8707757547321,0.383393436508748,0.3772135072340663,3.051631709719737,2.272775406324752,96.84515270008067,1.8655191291992643,37.469769231365895,0.3772255081076713
100,0.05,3,10,5,0.8,0.8,0.6260090515228534,2.365423746074677,1.6678430182686745,62.20136620319755,1.132010393239617,33.3715979885555,0.6260090541860852,0.6149386831627747,2.3995371186256844,1.6905800861233102,62.90624336860831,1.1376571104688726,29.634857615596932,0.6149429932255629
100,0.05,3,10,5,0.8,1.0,0.46262141020057523,2.8354277556861605,2.0490052324814347,84.27313566474743,1.5613762457478146,38.51366358818122,0.462621410277943,0.4589996718416911,2.8442075889308684,2.067134851190044,84.57910710354602,1.5763179523706021,36.07520759772739,0.45900189624811805
100,0.05,3,10,5,1.0,0.8,0.6262210248761166,2.364753304887141,1.665588314604936,61.98476732625275,1.1224143976549432,33.29958869635408,0.6262210248761166,0.6153801191042982,2.3981613043918744,1.6887325657682477,62.71119941268785,1.129382084031928,29.71785075193541,0.6153840114594258
100,0.05,3,10,5,1.0,1.0,0.4487010925251601,2.87191758300762,2.0732581000970853,85.2681421851772,1.5826475978463583,38.806911879648,0.4487010925251601,0.44617643559617015,2.877718056432135,2.090045512250743,85.55229338581303,1.6090027764826667,36.08152552701032,0.44617825454462323
